,open,high,low,close,results
2003-11-20,1.1913,1.197,1.188,1.1885,2
2003-11-21,1.1885,1.194,1.1859,1.1915,2
2003-11-23,1.1921,1.1925,1.1907,1.1915,2
2003-11-24,1.1915,1.1918,1.1763,1.1799,1
2003-11-25,1.1799,1.1822,1.1755,1.1811,1
2003-11-26,1.1811,1.1951,1.1797,1.1934,1
2003-11-27,1.1934,1.194,1.189,1.1917,1
2003-11-28,1.1917,1.2019,1.1915,1.1995,1
2003-11-30,1.1987,1.204,1.1976,1.202,1
2003-12-01,1.202,1.2044,1.194,1.1987,1
2003-12-02,1.1987,1.2118,1.1946,1.209,1
2003-12-03,1.209,1.2131,1.2049,1.2054,1
2003-12-04,1.2054,1.2159,1.203,1.2086,1
2003-12-05,1.2086,1.2179,1.2066,1.2166,1
2003-12-07,1.2182,1.2186,1.2155,1.2157,1
2003-12-08,1.2157,1.2242,1.2154,1.2223,2
2003-12-09,1.2223,1.2277,1.2189,1.222,1
2003-12-10,1.2219,1.227,1.2154,1.2188,1
2003-12-11,1.2189,1.2239,1.2117,1.2227,1
2003-12-12,1.2227,1.2308,1.2214,1.2291,2
2003-12-14,1.2159,1.2215,1.2137,1.2207,1
2003-12-15,1.2207,1.2355,1.2188,1.2345,1
2003-12-16,1.2345,1.2363,1.2304,1.2326,1
2003-12-17,1.2325,1.2423,1.2298,1.2412,0
2003-12-18,1.2411,1.2439,1.2363,1.2416,0
2003-12-19,1.2416,1.2434,1.2347,1.2372,1
2003-12-21,1.2417,1.2417,1.2352,1.2399,1
2003-12-22,1.2399,1.245,1.2389,1.2401,1
2003-12-23,1.2401,1.2429,1.2389,1.2404,1
2003-12-24,1.2405,1.2472,1.2401,1.2453,1
2003-12-26,1.2451,1.2463,1.2428,1.2431,1
2003-12-28,1.2445,1.2458,1.2428,1.2458,1
2003-12-29,1.2458,1.2511,1.2452,1.2497,1
2003-12-30,1.2497,1.2579,1.2492,1.2578,1
2003-12-31,1.2578,1.2648,1.2517,1.2585,1
2004-01-01,1.2590000000000001,1.2596,1.2526,1.2567,1
2004-01-02,1.2566,1.2631,1.2556,1.2591,1
2004-01-04,1.2596,1.2675,1.2587,1.2666,1
2004-01-05,1.2665,1.2699,1.2635,1.268,1
2004-01-06,1.268,1.2812,1.268,1.2725,2
2004-01-07,1.2725,1.2745,1.2586,1.2595,1
2004-01-08,1.2595,1.2787,1.2562,1.2754,1
2004-01-09,1.2754,1.2869,1.2705,1.2836,2
2004-01-11,1.287,1.287,1.2832,1.2847,2
2004-01-12,1.2847,1.29,1.2717,1.2767,2
2004-01-13,1.2767,1.2798,1.2718,1.2737,2
2004-01-14,1.2737,1.2747,1.2633,1.2654,2
2004-01-15,1.2654,1.2675,1.2562,1.2583,2
2004-01-16,1.2583,1.26,1.2353,1.2389,1
2004-01-18,1.2381,1.2407,1.2363,1.2383,1
2004-01-19,1.2383,1.2427,1.2336,1.2377,1
2004-01-20,1.2377,1.263,1.2377,1.2627,1
2004-01-21,1.2627,1.2685,1.255,1.2677,2
2004-01-22,1.2677,1.2754,1.2638,1.2707,2
2004-01-23,1.2707,1.2779,1.2570000000000001,1.2588,2
2004-01-25,1.2588,1.2681,1.2563,1.2587,2
2004-01-26,1.2587,1.2691,1.2454,1.2464,1
2004-01-27,1.2464,1.2711,1.2442,1.2597,2
2004-01-28,1.2597,1.271,1.2412,1.2461,2
2004-01-29,1.2461,1.2562,1.2365,1.2418,1
2004-01-30,1.2419,1.2494,1.2353,1.2473,1
2004-02-01,1.2482,1.2489,1.2454,1.2456,1
2004-02-02,1.2456,1.2481,1.2394,1.2469,1
2004-02-03,1.2469,1.2601,1.2467,1.2534,1
2004-02-04,1.2535,1.2564,1.2496,1.2532,1
2004-02-05,1.2533,1.2638,1.2531,1.2559,1
2004-02-06,1.2559,1.2727,1.2515,1.2707,1
2004-02-08,1.2613,1.274,1.2607,1.2739,1
2004-02-09,1.274,1.2766,1.2656,1.2746,1
2004-02-10,1.2745,1.2792,1.2670000000000001,1.2706,1
2004-02-11,1.2705,1.285,1.2651,1.2830000000000001,2
2004-02-12,1.2831,1.2839,1.2791,1.2815,2
2004-02-13,1.2814,1.2895,1.2717,1.2742,1
2004-02-15,1.2759,1.2759,1.2721,1.2734,1
2004-02-16,1.2735,1.2791,1.2725,1.2770000000000001,1
2004-02-17,1.2771,1.2879,1.2762,1.2861,2
2004-02-18,1.2861,1.2931,1.2662,1.2737,2
2004-02-19,1.2736,1.2770000000000001,1.265,1.2724,2
2004-02-20,1.2724,1.2726,1.2497,1.2532,1
2004-02-22,1.254,1.254,1.2454,1.2507,1
2004-02-23,1.2508,1.2598,1.2491,1.2531,1
2004-02-24,1.2532,1.2714,1.2528,1.2679,2
2004-02-25,1.268,1.2709,1.2479,1.2513,2
2004-02-26,1.2513,1.2516,1.2386,1.2439,2
2004-02-27,1.2439,1.2511,1.2374,1.2494,2
2004-02-29,1.2495,1.2541,1.2483,1.2505,2
2004-03-01,1.2504,1.2543,1.2429,1.2439,2
2004-03-02,1.244,1.2447,1.2151,1.2179,2
2004-03-03,1.2179,1.222,1.2058,1.2173,1
2004-03-04,1.2174,1.2245,1.2138,1.2199,1
2004-03-05,1.2199,1.2435,1.2176,1.238,1
2004-03-07,1.2397,1.2397,1.2341,1.2376,1
2004-03-08,1.2376,1.249,1.2344,1.2441,2
